Unit,2017-2018,Lab
COL,1,Community-Based Observation Laboratory 
EDL,4,Experimental Decision Laboratory 
EHL,0,EEG Hyperscanning Laboratory
QRL,11,Qualitative Research Laboratory
SGAL,10,Survey and Group Analysis Laboratory
SNL,1,Social Network Laboratory 
TSL,1,Toronto-Saskatoon-London
ViTAL,1,Video Therapy Analysis Laboratory
